question_id;text;correct;
1;a)foi uma ocupação militar violenta que, causando destruição e barbárie, acarretou a ruína das instituições romanas;false;
1;b)se, por um lado, causaram destruição e morte, por outro contribuíram, decisivamente, para o nascimento de uma nova civilização, a da Europa Cristã.;false;
1;c)apesar dos estragos causados, a Europa conseguiu, afinal, conter os bárbaros, derrotando-os militarmente e, sem solução de continuidade, absorveu e integrou os seus remanescentes.;false;
1;d)se não fossem elas, o Império Romano não teria desaparecido, pois, superada a crise do século III, passou a dispor de uma estrutura sócio-econômica dinâmica e de uma constituição política centralizada.;true;
1;e)os Godos foram os povos menos importantes, pois quase não deixaram marcas de sua presença.;false;
2;a) a queda da monarquia e o estabelecimento da república.;false;
2;b) a Lei das XII Tábuas, que equiparou patrícios e plebeus.;false;
2;c) a escravização generalizada dos plebeus e estrangeiros residentes em Roma.;false;
2;d) a introdução do latifúndio cultivado por escravos, em larga escala.;true;
2;e) a generalização do trabalho assalariado, estimulada pela expansão mercantil.;false;
3;a) 5 e 1.;false;
3;b) 3 e 6.;false;
3;c) 4 e 7.;true;
3;d) 6 e 4.;false;
3;e) 3 e 7.;false;
4;a) marcado processo de industrialização, êxodo urbano, endividamento do Estado.;false;
4;b) fortalecimento da classe plebéia, expansão da pequena propriedade, propagação do cristianismo.;false;
4;c) crescimento da economia agro-pastoril, intensificação das exportações, aumento do trabalho livre.;false;
4;d) enriquecimento do Estado romano, aparecimento de uma poderosa classe de comerciantes, aumento do número de escravos.;true;
4;e) diminuição da produção nos latifúndios, acentuado processo inflacionário, escassez de mão-de-obra escrava.;false;
5;a) da crise da República romana.;true;
5;b) da implantação da monarquia etrusca.;false;
5;c) do declínio do Império Romano.;false;
5;d) da ascensão do Império Bizantino.;false;
5;e) do fortalecimento do Senado.;false;
6;a) fortalecimento econômico da elite patrícia, concentração da população nas zonas rurais, crescimento do trabalho livre.;false;
6;b) supremacia política dos generais, abolição do trabalho escravo, fixação da plebe no campo.;false;
6;c) austeridade moral, monopólio dos cargos públicos pelos plebeus e erradicação da influência da cultura grega.;false;
6;d) emigração da população do campo para a cidade, predomínio da atividade comercial, grande aumento do número de escravos.;true;
